Crop type,Season,Year,State,District,Annual rainfall (mm),Cultivated area (hectares),Total production (tonnes),Pesticide and fertilizer used (kg/hectare),Yield (tonnes/hectare)
Bajra (Pearl Millet),Rabi,2022-2023,Odisha,Keonjhar,1297.38,500,845.0,190.81,1.69
Rubber,Rabi,2014-2015,Odisha,Bargarh,1550.01,13931,25633.04,104.35,1.84
Biri (Black Gram),Kharif,2002-2003,Odisha,Nuapada,1565.92,13391,22229.06,239.94,1.66
Cashew,Kharif,2013-2014,Odisha,Bargarh,1334.97,26597,48140.57,110.1,1.81
Pumpkin,Rabi,2024-2025,Odisha,Koraput,1283.41,17822,32792.48,145.6,1.84
Arhar (Pigeon Pea),Rabi,2003-2004,Odisha,Angul,1308.49,24894,37838.88,103.79,1.52
Sesamum (Til),Rabi,2015-2016,Odisha,Boudh,1500.58,20311,35544.25,228.32,1.75
Coriander,Rabi,2015-2016,Odisha,Sambalpur,1197.68,22743,38663.1,151.13,1.7
Garlic,Kharif,2021-2022,Odisha,Bhadrak,1646.67,20668,35342.28,112.34,1.71
Sapota,Rabi,2014-2015,Odisha,Sambalpur,1459.02,26924,46040.04,184.66,1.71
Ragi (Finger Millet),Kharif,2003-2004,Odisha,Nayagarh,1397.73,23617,39676.56,211.11,1.68
Groundnut,Kharif,2023-2024,Odisha,Rayagada,1507.87,16738,29961.02,188.28,1.79
Jackfruit,Rabi,2013-2014,Odisha,Jharsuguda,1503.53,30930,51653.1,181.7,1.67
Sunflower,Kharif,2006-2007,Odisha,Subarnapur,1453.16,23996,37673.72,122.71,1.57
Mango,Rabi,2019-2020,Odisha,Nuapada,1520.21,8842,15208.24,254.16,1.72
Coriander,Kharif,2004-2005,Odisha,Sambalpur,1351.35,29326,45748.56,150.45,1.56
Oranges & Limes,Kharif,2024-2025,Odisha,Nayagarh,1792.49,18606,34235.04,99.4,1.84
Sweet Potato,Rabi,2002-2003,Odisha,Deogarh,1374.51,10626,17001.6,226.03,1.6
Exotic Vegetables,Kharif,2017-2018,Odisha,Kalahandi,1736.69,26275,45718.5,254.99,1.74
Bajra (Pearl Millet),Rabi,2012-2013,Odisha,Subarnapur,1591.55,11310,18435.3,95.11,1.63
Ragi (Finger Millet),Kharif,2018-2019,Odisha,Balasore,1642.41,30570,45855.0,193.14,1.5
Coconut,Kharif,2010-2011,Odisha,Jagatsinghapur,1471.24,27570,44112.0,118.82,1.6
Biri (Black Gram),Kharif,2004-2005,Odisha,Jajpur,1570.85,20561,33925.65,214.59,1.65
Oil Palm,Kharif,2019-2020,Odisha,Nuapada,1697.86,14903,24440.92,216.18,1.64
Cowpea,Rabi,2013-2014,Odisha,Dhenkanal,1594.7,23998,39116.74,111.09,1.63
Ragi (Finger Millet),Rabi,2013-2014,Odisha,Nuapada,1366.12,15729,24379.95,251.23,1.55
Cashew,Kharif,2020-2021,Odisha,Koraput,1394.86,15606,27466.56,242.49,1.76
Maize,Rabi,2011-2012,Odisha,Kendrapara,1690.64,36010,118472.9,157.93,3.29
Ginger,Kharif,2006-2007,Odisha,Balangir,1423.3,16624,25102.24,88.75,1.51
Groundnut,Rabi,2009-2010,Odisha,Malkangiri,1372.28,17013,25689.63,132.75,1.51
Niger,Kharif,2017-2018,Odisha,Kendrapara,1516.23,20983,36300.59,101.17,1.73
Lentil,Rabi,2001-2002,Odisha,Kandhamal,1565.64,21896,31311.28,217.76,1.43
Turmeric,Kharif,2002-2003,Odisha,Sundargarh,1537.2,4732,7807.8,199.88,1.65
Pumpkin,Kharif,2019-2020,Odisha,Mayurbhanj,1499.69,16893,31589.91,208.11,1.87
Linseed,Rabi,2003-2004,Odisha,Mayurbhanj,1301.05,22301,30106.35,101.87,1.35
Oranges & Limes,Kharif,2003-2004,Odisha,Balasore,1711.56,9526,14955.82,240.3,1.57
Ragi (Finger Millet),Kharif,2005-2006,Odisha,Malkangiri,1624.24,15922,23564.56,118.33,1.48
Coriander,Kharif,2009-2010,Odisha,Angul,1607.1,9012,14599.44,163.37,1.62
Brinjal (Eggplant),Kharif,2008-2009,Odisha,Kandhamal,1421.35,16370,25537.2,216.95,1.56
Cowpea,Rabi,2002-2003,Odisha,Boudh,1434.11,22469,35725.71,89.74,1.59
Tomato,Kharif,2001-2002,Odisha,Kandhamal,1427.51,22030,29740.5,172.45,1.35
Tobacco,Kharif,2001-2002,Odisha,Nayagarh,1555.21,24537,39749.94,133.41,1.62
Banana,Rabi,2014-2015,Odisha,Angul,1524.38,16630,506549.8,217.61,30.46
Oil Palm,Rabi,2013-2014,Odisha,Nuapada,1350.98,500,785.0,119.66,1.57
Turmeric,Rabi,2004-2005,Odisha,Jagatsinghapur,1505.24,12946,20066.3,246.95,1.55
Oranges & Limes,Kharif,2011-2012,Odisha,Deogarh,1241.92,16050,25038.0,227.93,1.56
Mesta,Rabi,2021-2022,Odisha,Balasore,1362.97,14292,23581.8,189.66,1.65
